Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Marce,Tipo di vernice,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
Berlina,9d6e1a41-176d-4524-96c7-54b36313a9b1,Elettrica,KM0,2020,Peugeot,208,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Altro",,1,,,24 mese,,,,,,,,
Berlina,63a08410-22b6-4678-b91d-f17357c6c224,Elettrica,KM0,2020,Kia,Niro,5,5,Automatico,anteriore,Grigio,0 g CO2/km (comb.),"Pelle totale, Nero",Grigio scuro,1,Metallizzato,1737,84 mese,,,,Euro 6,,,,
Berlina,d4ac949f-1810-4562-b0fc-6925f87bcd10,Elettrica,KM0,2020,Opel,Corsa,5,5,Automatico,anteriore,Arancione,0 g CO2/km (comb.),Nero,ARANCIONE,1,Metallizzato,1530,,,1,1,,1,,,
Berlina,56493b6e-722d-4dae-9d25-02dcc73258c5,Elettrica,KM0,2020,Peugeot,iOn,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),,Bianco,,Base,1140,,Sì,,900,,,,,
Berlina,79443734-cc29-4484-b4bb-027d63591e5c,Elettrica,KM0,2020,Opel,Corsa,5,5,Automatico,anteriore,Blu/Azzurro,,"Pelle parziale, Nero",VOLTAIC BLUE,1,Metallizzato,1530,,,1,1,Euro 6d,1,Sì,,
Berlina,c32e84b2-0101-4ac1-865b-2350df3bb468,Elettrica,KM0,2020,Opel,Corsa,5,5,Automatico,anteriore,Blu/Azzurro,0 g CO2/km (comb.),"Stoffa, Nero",VOLTAIC BLUE,,Metallizzato,1530,24 mese,,,,,,,,
Berlina,a7581e02-1158-4527-8843-51a3e71b6ea4,Elettrica,KM0,2020,Opel,Corsa,5,5,Automatico,anteriore,Arancione,0 g CO2/km (comb.),"Stoffa, Nero",ORANGE FIZZ,,Base,1530,24 mese,,,,,,,,
Berlina,9b6db09d-e738-4314-a7d4-594d73451ca8,Elettrica,KM0,2020,Peugeot,208,5,5,Automatico,anteriore,Blu/Azzurro,0 g CO2/km (comb.),"Alcantara, Altro",Blu Vertigo,,Metallizzato,,,,1,,,,,,
Berlina,33b5a6cc-8f97-4148-a159-2fc964dd9fcf,Elettrica,KM0,2020,Citroen,C-Zero,5,4,Manuale,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bianco,,Base,,19 mese,,,,,,,,
Berlina,1e6f6b3d-4ff1-4310-b8b5-c5918460f1c8,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Stoffa,Bianco,,,,,,,,,,,,
Berlina,c536e018-406a-40ea-b209-b084c017bfb9,Elettrica,KM0,2017,Citroen,C-Zero,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Grigio",Bianco,,Base,1195,12 mese,Sì,,,,,Sì,,
Berlina,51abf290-a1ab-487d-a7d0-b8cdbd2b41f5,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Argento,0 g CO2/km (comb.),Stoffa,Argento,1,,,,,,,,,,,
Berlina,6865132e-bb38-41a5-8a4a-1c37f5bceb21,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Stoffa,Bianco,1,,,,,,,,,,,
Berlina,a7eac4d0-11e7-4fcd-9283-f6a4ad00460a,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Pelle totale,Bianco,1,Perlato,,,,,,,,,,
Berlina,9f677ec5-8d57-48ea-a8e3-5e307ee6d488,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Argento,0 g CO2/km (comb.),Stoffa,Argento,1,,,,,,,,,,,
Berlina,efe349b6-f60a-4b9f-b4eb-691a6ceb7206,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Stoffa,Bianco,1,,,,,,,,,,,
Berlina,97ee1ad0-3887-4d51-b164-abc2e71776ac,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Pelle totale,Bianco,1,,,,,,,,,,,
Berlina,101ddb66-f1c5-4680-ae7d-e5f09198360c,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Grigio,0 g CO2/km (comb.),Pelle totale,Grigio scuro,1,,,,,,,,,,,
Berlina,c787c1be-f505-41ea-b9ca-c9514acf4ab1,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Pelle totale,Bianco,1,,,,,,,,,,,
Berlina,1ff85e2c-29f7-40e0-accd-7ca1e177c342,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Grigio,0 g CO2/km (comb.),Pelle totale,Grigio scuro,1,,,,,,,,,,,
Berlina,6f095dc5-018e-47df-aaf8-2a86bce3ca63,Elettrica,KM0,2020,Citroen,C-Zero,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Beige",,1,,1195,,Sì,1,1,,1,,,
Berlina,7ee951e4-f646-43a1-a605-97a1bb59afe2,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Pelle totale, Grigio",Bianco,1,Base,1610,Sì,,,,Euro 6d-TEMP,,,,
Berlina,1eeff3c0-573b-4eff-9c56-f2e31a1437ed,Elettrica,KM0,2019,BMW,i3,5,4,Automatico,posteriore,Blu/Azzurro,0 g CO2/km (comb.),"Stoffa, Grigio",Blu,1,,,,,1,,,,,,
Berlina,b50e6379-f3f0-49c3-8894-48c5957122f7,Elettrica,KM0,2018,Peugeot,iOn,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Grigio",,,,,Sì,,,,,,,,
Berlina,9e2c642c-cf52-4bad-a4f6-e9d9912cfa3c,Elettrica,KM0,2020,Renault,ZOE,5,5,,,Rosso,0 g CO2/km (comb.),,ROSSO PASSION,1,Metallizzato,1543,,Sì,1,,,1,,,
Berlina,0c059d15-f126-475d-a321-ec9a70324ece,Elettrica,KM0,2020,Mitsubishi,I-MiEV,5,4,Automatico,posteriore,,0 g CO2/km (comb.),,,5,,1100,,Sì,,,,,,,
Berlina,14e6ed5b-f26d-4579-8b5c-75736e9d0b18,Elettrica,KM0,2020,Aixam,City,3,2,Automatico,anteriore,,0 g CO2/km (comb.),"Stoffa, Nero",,,Metallizzato,350,,Sì,,,,,,,
Berlina,75df9fca-c92f-48ca-af98-553551936a3f,Elettrica,KM0,2020,Citroen,C-Zero,5,4,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Nero",Grigio,,Metallizzato,1195,24 mese,Sì,,,,,,,
Berlina,8999900c-73d1-4253-88a6-e76f05a4b45c,Elettrica,KM0,2017,Citroen,C-Zero,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),,Bianco,,Base,1195,12 mese,Sì,,,,,Sì,,
