,Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Tipo di vernice,Marce,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati,seller,vehicle,country,address,conditional_on_price,price,link_annuncio,vehicle_user_desc,median,discount,variazione_su_mediana,equal_or_lower
10,Berlina,a6d1b61a-7b41-43f1-a9c3-b16156a27f08,Elettrica,KM0,2020.0,smart,forTwo,2.0,2.0,Automatico,anteriore,Grigio,0 g CO2/km (comb.),"Pelle totale, Nero",Bodypanels in titania grey mat,,,1095.0,24 mese,SÃƒÂ¬,,,,,,,,Bonera Spa,smart forTwo,IT,25135 Brescia - Bs,12,21900,https://www.autoscout24.it/annunci/smart-fortwo-eq-pulse-elettrica-grigio-a6d1b61a-7b41-43f1-a9c3-b16156a27f08?cldtidx=13&cldtsrc=listPage,eq Pulse,22950.0,1050.0,-200.0,0
11,Berlina,71da5cd1-4248-4027-86a8-803b79a49b56,Elettrica,KM0,2020.0,smart,forTwo,2.0,2.0,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanels in black,,,1085.0,24 mese,,,,,,,,,Bonera Spa,smart forTwo,IT,25135 Brescia - Bs,12,20500,https://www.autoscout24.it/annunci/smart-fortwo-eq-passion-my19-elettrica-nero-71da5cd1-4248-4027-86a8-803b79a49b56?cldtidx=15&cldtsrc=listPage,eq Passion my19,22950.0,2450.0,1200.0,0
12,Berlina,021a0031-0cae-4011-9339-cbd9e9a7c1ff,Elettrica,KM0,2020.0,smart,forTwo,2.0,2.0,Automatico,posteriore,Argento,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanel in cool silver,Metallizzato,,1085.0,24 mese,,,,,,,,,Bonera Spa,smart forTwo,IT,25135 Brescia - Bs,12,18199,https://www.autoscout24.it/annunci/smart-fortwo-eq-passion-my19-elettrica-argento-021a0031-0cae-4011-9339-cbd9e9a7c1ff?cldtidx=16&cldtsrc=listPage,eq Passion my19,22950.0,4751.0,3501.0,1
13,Berlina,898f2837-5a86-444a-919c-d0fb9bc645ae,Elettrica,KM0,2020.0,smart,forTwo,2.0,2.0,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanels in white,,,1085.0,24 mese,,,,,,,,,Bonera Spa,smart forTwo,IT,25135 Brescia - Bs,12,18499,https://www.autoscout24.it/annunci/smart-fortwo-eq-passion-my19-elettrica-bianco-898f2837-5a86-444a-919c-d0fb9bc645ae?cldtidx=17&cldtsrc=listPage,eq Passion my19,22950.0,4451.0,3201.0,1
14,Berlina,ad8f6e1c-6970-4b12-863a-05a00ec57336,Elettrica,KM0,2020.0,smart,forTwo,2.0,2.0,Automatico,posteriore,Argento,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanel in cool silver,Metallizzato,,1085.0,24 mese,,,,,,,,,Bonera Spa,smart forTwo,IT,25135 Brescia - Bs,12,18900,https://www.autoscout24.it/annunci/smart-fortwo-eq-passion-my19-elettrica-argento-ad8f6e1c-6970-4b12-863a-05a00ec57336?cldtidx=18&cldtsrc=listPage,eq Passion my19,22950.0,4050.0,2800.0,1
15,Berlina,b8adcb67-5935-4f0e-84f9-0b412a58dba5,Elettrica,KM0,2020.0,smart,forTwo,2.0,2.0,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanels in white,,,1085.0,24 mese,,,,,,,,,Bonera Spa,smart forTwo,IT,25135 Brescia - Bs,12,18399,https://www.autoscout24.it/annunci/smart-fortwo-eq-passion-my19-elettrica-bianco-b8adcb67-5935-4f0e-84f9-0b412a58dba5?cldtidx=19&cldtsrc=listPage,eq Passion my19,22950.0,4551.0,3301.0,1
16,City car,c13ba6b6-2e72-4d73-8bb8-6a86f0312c2d,Benzina,KM0,2019.0,smart,forTwo,3.0,2.0,Automatico,posteriore,Argento,110 g CO2/km (comb.),"Stoffa, Grigio",Argento,Metallizzato,6.0,935.0,24 mese,,,999.0,,3.0,,"4,8 l/100 km (comb.)
5,4 l/100 km (urbano)
4,5 l/100 km (extraurbano)",,Busto Motor Company Srl,smart forTwo,IT,21057 Olgiate Olona - Varese,12,17450,https://www.autoscout24.it/annunci/smart-fortwo-70-1-0-twinamic-passion-km0-benzina-argento-c13ba6b6-2e72-4d73-8bb8-6a86f0312c2d?cldtidx=1&cldtsrc=listPage,70 1.0 twinamic Passion km0,22950.0,5500.0,4250.0,1
17,City car,de457858-84d8-496f-a6a6-13cea95219a3,Benzina,KM0,2019.0,smart,forTwo,3.0,2.0,Automatico,posteriore,Nero,114 g CO2/km (comb.),"Pelle totale, Grigio",Nero,Base,6.0,940.0,24 mese,,,898.0,,3.0,,"5 l/100 km (comb.)
5,9 l/100 km (urbano)
4,5 l/100 km (extraurbano)",,Busto Motor Company Srl,smart forTwo,Mattia Cacchietta,IT,12,22900,https://www.autoscout24.it/annunci/smart-fortwo-90-0-9-turbo-twinamic-brabus-style-km0-benzina-nero-de457858-84d8-496f-a6a6-13cea95219a3?cldtidx=13&cldtsrc=listPage,90 0.9 Turbo twinamic BRABUS Style KM0,22950.0,50.0,-1200.0,0
18,City car,5c2a5977-07e0-4edb-99ef-b3c5bda5237f,Benzina,KM0,2019.0,smart,forTwo,3.0,2.0,Automatico,posteriore,Bianco,110 g CO2/km (comb.),"Stoffa, Grigio",Bianco,Metallizzato,6.0,935.0,24 mese,,,999.0,,3.0,,"4,8 l/100 km (comb.)
5,4 l/100 km (urbano)
4,5 l/100 km (extraurbano)",,Busto Motor Company Srl,smart forTwo,IT,21057 Olgiate Olona - Varese,12,16450,https://www.autoscout24.it/annunci/smart-fortwo-70-1-0-twinamic-passion-km0-benzina-bianco-5c2a5977-07e0-4edb-99ef-b3c5bda5237f?cldtidx=14&cldtsrc=listPage,70 1.0 twinamic Passion km0,22950.0,6500.0,5250.0,1
19,City car,0beedcbc-e135-4664-b7da-927b2cedecf8,Benzina,KM0,2019.0,smart,forTwo,3.0,2.0,Automatico,posteriore,Bianco,110 g CO2/km (comb.),"Stoffa, Nero",Bianco,Base,6.0,935.0,22 mese,,,999.0,Euro 6c,3.0,,"4,8 l/100 km (comb.)
5,4 l/100 km (urbano)
4,5 l/100 km (extraurbano)",,Vogue Cars Sas,smart forTwo,Responsabile vendite,IT,12,16900,https://www.autoscout24.it/annunci/smart-fortwo-70-1-0-twinamic-superpassion-benzina-bianco-0beedcbc-e135-4664-b7da-927b2cedecf8?cldtidx=19&cldtsrc=listPage,70 1.0 twinamic Superpassion,22950.0,6050.0,4800.0,1
