seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
R.S. Auto Spa,Ford Kuga,IT,26013 Crema - Cremona - Cr,fc038a4b-d950-4634-81fc-d1ce864cf3fe,"€ 37.950,- 1",1,37950,https://www.autoscout24.it/annunci/ford-kuga-2-5-plug-in-hybrid-225-cv-cvt-2wd-st-line-x-elettrica-grigio-fc038a4b-d950-4634-81fc-d1ce864cf3fe?cldtidx=9&cldtsrc=listPage,2.5 Plug In Hybrid 225 CV CVT 2WD ST-Line X
Autocenter Srl,Jaguar I-Pace,IT,46033 Castel D'Ario - Mantova - Mn,7fb7e74f-6d18-4004-b717-4868f195dc37,"€ 87.900,- 31",31,87900,https://www.autoscout24.it/annunci/jaguar-i-pace-ev-kwh-400-cv-auto-awd-hse-elettrica-nero-7fb7e74f-6d18-4004-b717-4868f195dc37?cldtidx=10&cldtsrc=listPage,EV kWh 400 CV Auto AWD HSE
Vicentini Spa - Audi Zentrum Verona,Audi e-tron,IT,37139 Verona - Vr,36f8814b-a276-4525-a6ef-a2b0d9b83597,"€ 81.500,- 31",31,81500,https://www.autoscout24.it/annunci/audi-e-tron-55-360cv-q-business-listino-102-312-elettrica-nero-36f8814b-a276-4525-a6ef-a2b0d9b83597?cldtidx=11&cldtsrc=listPage,55 360CV Q. Business Listino: 102.312€
Concorde,Ford Kuga,IT,16138 Genova - Ge,d681afb5-7c32-4b06-954d-d88e52d15d87,"€ 32.500,- 31",31,32500,https://www.autoscout24.it/annunci/ford-kuga-2-5-plug-in-hybrid-225-cv-cvt-titanium-elettrica-nero-d681afb5-7c32-4b06-954d-d88e52d15d87?cldtidx=12&cldtsrc=listPage,2.5 Plug In Hybrid 225 CV CVT Titanium
Mobility.it - Km 0 - Gruppo Lario,DS Automobiles DS 3 Crossback,IT,20125 Milano - Mi,e32245af-e4f2-423f-b25d-5972ed1c5d46,"€ 35.900,- 1",1,35900,https://www.autoscout24.it/annunci/ds-automobiles-ds-3-crossback-3-crossback-e-tense-so-chic-elettrica-grigio-e32245af-e4f2-423f-b25d-5972ed1c5d46?cldtidx=13&cldtsrc=listPage,3 CROSSBACK E-TENSE SO CHIC
Dromo Car Srl,Hyundai Kona,IT,40026 Imola - Bologna - Bo,ac7ef95a-2d17-418c-b435-73f240c4e6ab,"€ 39.500,- 31",31,39500,https://www.autoscout24.it/annunci/hyundai-kona-excellence-elettrica-bianco-ac7ef95a-2d17-418c-b435-73f240c4e6ab?cldtidx=14&cldtsrc=listPage,Excellence
Auto Zentrum Torino,Audi e-tron,IT,10095 Grugliasco - Torino - To,787becc8-20b5-4908-aa5d-cead17900a56,"€ 92.900,- 31",31,92900,https://www.autoscout24.it/annunci/audi-e-tron-55-quattro-advanced-elettrica-bianco-787becc8-20b5-4908-aa5d-cead17900a56?cldtidx=15&cldtsrc=listPage,55 quattro Advanced
Audi Zentrum Bologna - Penske Automotive Italy,Audi e-tron,IT,40138 Bologna - Bo,8ba883f6-65f9-4b1e-8be6-96ef0b9c528c,"€ 86.500,- 31",31,86500,https://www.autoscout24.it/annunci/audi-e-tron-advanced-55-quattro-elettrica-blu-azzurro-8ba883f6-65f9-4b1e-8be6-96ef0b9c528c?cldtidx=16&cldtsrc=listPage,Advanced 55 quattro
Audi Zentrum Bologna – Penske Automotive Italy,Audi e-tron,IT,40033 Casalecchio di Reno – Bo,2beee124-22c4-4099-be15-297908c4259d,"€ 86.500,- 31",31,86500,https://www.autoscout24.it/annunci/audi-e-tron-advanced-55-quattro-elettrica-blu-azzurro-2beee124-22c4-4099-be15-297908c4259d?cldtidx=17&cldtsrc=listPage,Advanced 55 quattro
In Car Srl,Audi e-tron,IT,39100 Bolzano - Bz,d5940fb9-02cd-4cb0-8318-f940f198e981,"€ 85.000,- 1",1,85000,https://www.autoscout24.it/annunci/audi-e-tron-e-tron-55-quattro-business-elettrica-nero-d5940fb9-02cd-4cb0-8318-f940f198e981?cldtidx=18&cldtsrc=listPage,e-tron 55 quattro Business
